8/11 18:44:45.464  COMBAT_LOG_VERSION,9,ADVANCED_LOG_ENABLED,1
8/11 18:44:49.855  SWING_DAMAGE_LANDED,Player-1388-0839852B,"Ixilichit-Lightbringer",0x528,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,199606,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.7381,110,1486,1083,-1,1,0,0,0,1,nil,nil
8/11 18:44:49.949  SPELL_DAMAGE,Player-1388-0839852B,"Ixilichit-Lightbringer",0x528,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,49998,"Death Strike",0x1,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,198161,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.7381,110,1444,2105,-1,1,0,0,0,nil,nil,nil
8/11 18:44:50.169  SWING_DAMAGE_LANDED,Creature-0-3771-1669-12767-111694-00006F205D,"Acherus Death Knight",0xa28,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,198014,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.7381,110,147,215,-1,1,0,0,0,nil,nil,nil
8/11 18:44:50.268  SPELL_DAMAGE,Creature-0-3771-1669-12767-111694-00006F205D,"Acherus Death Knight",0xa28,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,222418,"Heart Strike",0x1,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,197850,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.7381,110,163,237,-1,1,0,0,0,nil,nil,nil
8/11 18:44:50.268  SWING_DAMAGE_LANDED,Creature-0-3771-1669-12767-99773-00006F208F,"Bloodworm",0xa28,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,197772,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.7381,110,78,112,-1,1,0,0,0,nil,nil,nil
8/11 18:44:50.934  SPELL_AURA_REFRESH,Player-1388-0839852B,"Ixilichit-Lightbringer",0x528,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,55078,"Blood Plague",0x20,DEBUFF
8/11 18:44:50.934  SPELL_DAMAGE,Player-1388-0839852B,"Ixilichit-Lightbringer",0x528,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,50842,"Blood Boil",0x20,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,196258,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.7381,110,1513,755,-1,32,0,0,0,1,nil,nil
8/11 18:44:51.068  SPELL_PERIODIC_DAMAGE,Player-1388-0839852B,"Ixilichit-Lightbringer",0x528,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,55078,"Blood Plague",0x20,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,196102,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.7381,110,156,155,-1,32,0,0,0,nil,nil,nil
8/11 18:44:51.434  SWING_DAMAGE_LANDED,Creature-0-3771-1669-12767-99773-00006F208F,"Bloodworm",0xa28,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,196024,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.7381,110,78,112,-1,1,0,0,0,nil,nil,nil
8/11 18:44:51.434  SPELL_CAST_START,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,0000000000000000,nil,0x80000000,0x80000000,251096,"Crushing Blow",0x4
8/11 18:44:51.935  SPELL_CAST_SUCCESS,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,0000000000000000,nil,0x80000000,0x80000000,251096,"Crushing Blow",0x4,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,196024,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.4911,110
8/11 18:44:51.935  SWING_DAMAGE_LANDED,Creature-0-3771-1669-12767-111694-00006F205D,"Acherus Death Knight",0xa28,0x0,Creature-0-3771-1669-12767-120393-00006F200F,"Siegemaster Voraan",0xa48,0x0,Creature-0-3771-1669-12767-120393-00006F200F,0000000000000000,195876,208644,0,0,610,1,0,0,0,777.19,1604.23,830,3.4911,110,147,215,-1,1,0,0,0,nil,nil,nil
